nickname,team,conference,rating,lat,long,coords,score,wins,losses
Mich,Michigan,BIG TEN-EAST,92.42,42.26586873,-83.74872565,"(42.2659,-83.7487)",0,,
PaSt,Penn State,BIG TEN-EAST,91.50,40.81215273,-77.85620213,"(40.8122,-77.8562)",0,,
OhSt,Ohio State,BIG TEN-EAST,94.66,40.00168569,-83.01972806,"(40.0017,-83.0197)",0,,
TAMU,Texas A&M,SEC-WEST,76.54,30.61009758,-96.34072923,"(30.6101,-96.3407)",0,,
Tenn,Tennessee,SEC-EAST,93.37,35.95473437,-83.92533302,"(35.9547,-83.9253)",0,,
LSU,LSU,SEC-WEST,86.27,30.4120124,-91.18381977,"(30.412,-91.1838)",0,,
Bama,Alabama,SEC-WEST,95.88,33.20748994,-87.55039215,"(33.2075,-87.5504)",0,,
UTex,Texas,BIG 12,87.17,30.2836034,-97.73233652,"(30.2836,-97.7323)",0,,
USC,Southern California,PAC-12 SOUTH,83.58,34.01400974,-118.2878959,"(34.014,-118.2879)",0,,
UGA,Georgia,SEC-EAST,79.43,33.94982149,-83.3734417,"(33.9498,-83.3734)",0,,
UCLA,UCLA,PAC-12 SOUTH,79.03,34.16156959,-118.1676149,"(34.1616,-118.1676)",0,,
UF,Florida,SEC-EAST,77.70,29.64986868,-82.34866619,"(29.6499,-82.3487)",0,,
Aub,Auburn,SEC-WEST,75.57,32.60236167,-85.48891068,"(32.6024,-85.4889)",0,,
Neb,Nebraska,BIG TEN-WEST,71.37,40.82048352,-96.70571566,"(40.8205,-96.7057)",0,,
FSU,Florida State,ACC-ATLANTIC,84.33,30.43754758,-84.30453398,"(30.4375,-84.3045)",0,,
OU,Oklahoma,BIG 12,82.60,35.20589959,-97.44255066,"(35.2059,-97.4426)",0,,
Clem,Clemson,ACC-ATLANTIC,85.58,34.67874666,-82.8431797,"(34.6787,-82.8432)",0,,
ND,Notre Dame,I-A IND.,83.77,41.69842312,-86.23382449,"(41.6984,-86.2338)",0,,
Wisc,Wisconsin,BIG TEN-WEST,78.22,43.06993803,-89.41274643,"(43.0699,-89.4127)",0,,
USCe,South Carolina,SEC-EAST,76.61,33.97259115,-81.02021635,"(33.9726,-81.0202)",0,,
MSU,Michigan State,BIG TEN-EAST,73.33,42.72816912,-84.48487535,"(42.7282,-84.4849)",0,,
Ark,Arkansas,SEC-WEST,78.72,36.06785079,-94.17879581,"(36.0679,-94.1788)",0,,
ASU,Arizona State,PAC-12 SOUTH,69.09,33.426364,-111.932616,"(33.4264,-111.9326)",0,,
Mizz,Missouri,SEC-EAST,72.39,38.9358953,-92.33311415,"(38.9359,-92.3331)",0,,
Iowa,Iowa,BIG TEN-WEST,81.50,41.65838894,-91.55147552,"(41.6584,-91.5515)",0,,
SDSU,San Diego State,MWC-WEST,64.76,32.78305326,-117.1196008,"(32.7831,-117.1196)",0,,
Wash,Washington,PAC-12 NORTH,86.00,47.65043054,-122.3029198,"(47.6504,-122.3029)",0,,
Temp,Temple,AAC,58.03,39.9007489,-75.16749144,"(39.9007,-75.1675)",0,,
Pitt,Pittsburgh,ACC-COASTAL,78.02,40.44678377,-80.01575589,"(40.4468,-80.0158)",0,,
VPI,Virginia Tech,ACC-COASTAL,64.29,37.21997428,-80.41805506,"(37.22,-80.4181)",0,,
USF,South Florida,AAC,57.48,27.97599447,-82.50334918,"(27.976,-82.5033)",0,,
Mia,Miami,ACC-COASTAL,66.53,25.95793374,-80.23884058,"(25.9579,-80.2388)",0,,
UTSA,UTSA,CONF-USA,71.54,29.41693713,-98.47890258,"(29.4169,-98.4789)",0,,
BYU,BYU,I-A IND.,71.80,40.257488,-111.654439,"(40.2575,-111.6544)",0,,
UNC,North Carolina,ACC-COASTAL,74.07,35.90698835,-79.04791832,"(35.907,-79.0479)",0,,
Cal,California,PAC-12 NORTH,70.38,37.8706866,-122.2507095,"(37.8707,-122.2507)",0,,
Memp,Memphis,AAC,73.86,35.12085692,-89.97805741,"(35.1209,-89.9781)",0,,
UK,Kentucky,SEC-EAST,77.10,38.02262168,-84.50520515,"(38.0226,-84.5052)",0,,
IaSt,Iowa State,BIG 12,75.98,42.01400541,-93.63580942,"(42.014,-93.6358)",0,,
UVA,Virginia,ACC-COASTAL,65.12,38.03112373,-78.51370811,"(38.0311,-78.5137)",0,,
MsSt,Mississippi State,SEC-WEST,82.84,33.4562306,-88.79342437,"(33.4562,-88.7934)",0,,
TTU,Texas Tech,BIG 12,80.90,33.5910283,-101.8729377,"(33.591,-101.8729)",0,,
Ill ,Illinois,BIG TEN-WEST,79.54,40.09930573,-88.23598623,"(40.0993,-88.236)",0,,
OleM,Mississippi,SEC-WEST,78.72,34.3621543,-89.53414626,"(34.3622,-89.5341)",0,,
OkSt,Oklahoma State,BIG 12,76.49,36.12570866,-97.06650496,"(36.1257,-97.0665)",0,,
WVU,West Virginia,BIG 12,74.44,39.65221992,-79.9551753,"(39.6522,-79.9552)",0,,
NCSU,NC State,ACC-ATLANTIC,75.01,35.80075968,-78.71948719,"(35.8008,-78.7195)",0,,
Purd,Purdue,BIG TEN-WEST,73.49,40.434323,-86.918485,"(40.4343,-86.9185)",0,,
GT,Georgia Tech,ACC-COASTAL,96.03,33.77255692,-84.39285278,"(33.7726,-84.3929)",0,,
Louv,Louisville,ACC-ATLANTIC,80.41,38.20542169,-85.75810562,"(38.2054,-85.7581)",0,,
Ore,Oregon,PAC-12 NORTH,84.98,44.05827272,-123.0685043,"(44.0583,-123.0685)",0,,
Ind,Indiana,BIG TEN-EAST,65.80,39.18090913,-86.52557373,"(39.1809,-86.5256)",0,,
Minn,Minnesota,BIG TEN-WEST,80.32,44.97652497,-93.22457582,"(44.9765,-93.2246)",0,,
Rutg,Rutgers,BIG TEN-EAST,60.40,40.51378289,-74.46504457,"(40.5138,-74.465)",0,,
Ariz,Arizona,PAC-12 SOUTH,70.55,32.22834023,-110.9490395,"(32.2283,-110.949)",0,,
Mary,Maryland,BIG TEN-EAST,76.85,38.99120275,-76.94731173,"(38.9912,-76.9473)",0,,
UTEP,UTEP,CONF-USA,57.65,31.77334531,-106.5078968,"(31.7733,-106.5079)",0,,
Colo,Colorado,PAC-12 SOUTH,54.03,40.00939837,-105.2668869,"(40.0094,-105.2669)",0,,
KU,Kansas,BIG 12,73.12,38.96294599,-95.246315,"(38.9629,-95.2463)",0,,
Hawa,Hawaii,MWC-WEST,52.42,21.37278299,-157.9299688,"(21.3728,-157.93)",0,,
ECU,East Carolina,AAC,70.85,35.5964258,-77.36522913,"(35.5964,-77.3652)",0,,
KSU,Kansas State,BIG 12,86.10,39.20186362,-96.59379244,"(39.2019,-96.5938)",0,,
Stan,Stanford,PAC-12 NORTH,65.76,37.43472641,-122.1610165,"(37.4347,-122.161)",0,,
Syr,Syracuse,ACC-ATLANTIC,71.72,43.03613282,-76.13651991,"(43.0361,-76.1365)",0,,
NW,Northwestern,BIG TEN-WEST,62.73,42.06539967,-87.69249558,"(42.0654,-87.6925)",0,,
Rice,Rice,CONF-USA,53.96,29.71623403,-95.40926456,"(29.7162,-95.4093)",0,,
AF,Air Force,MWC-MOUNTAIN,75.37,38.99690743,-104.843688,"(38.9969,-104.8437)",0,,
OrSt,Oregon State,PAC-12 NORTH,86.06,44.55947684,-123.2814074,"(44.5595,-123.2814)",0,,
UCF,UCF,AAC,72.89,28.60795886,-81.19299889,"(28.608,-81.193)",0,,
Bay,Baylor,BIG 12,79.41,31.55866264,-97.11560011,"(31.5587,-97.1156)",0,,
Utah,Utah,PAC-12 SOUTH,88.69,40.75994782,-111.848824,"(40.7599,-111.8488)",0,,
TCU,TCU,BIG 12,87.00,32.70991597,-97.36799598,"(32.7099,-97.368)",0,,
BC,Boston College,ACC-ATLANTIC,60.84,42.33510835,-71.16647243,"(42.3351,-71.1665)",0,,
FrSt,Fresno State,MWC-WEST,76.85,36.8143197,-119.7581016,"(36.8143,-119.7581)",0,,
Vand,Vanderbilt,SEC-EAST,64.21,36.1435585,-86.80877209,"(36.1436,-86.8088)",0,,
Conn,Connecticut,I-A IND.,56.15,41.75988428,-72.61894226,"(41.7599,-72.6189)",0,,
Cinc,Cincinnati,AAC,74.73,39.13128425,-84.51626144,"(39.1313,-84.5163)",0,,
Hou,Houston,AAC,71.51,29.72176796,-95.34909841,"(29.7218,-95.3491)",0,,
UNM,New Mexico,MWC-MOUNTAIN,48.44,35.06761048,-106.6281028,"(35.0676,-106.6281)",0,,
Mars,Marshall,SUN BELT EAST,69.72,38.42486536,-82.42185831,"(38.4249,-82.4219)",0,,
Army,Army,I-A IND.,67.79,41.38708043,-73.96408081,"(41.3871,-73.9641)",0,,
BoSt,Boise State,MWC-MOUNTAIN,73.65,43.60270805,-116.1959124,"(43.6027,-116.1959)",0,,
Lous,Louisiana,SUN BELT WEST,67.35,30.2157961,-92.01626414,"(30.2158,-92.0163)",0,,
UNLV,UNLV,MWC-WEST,58.85,36.08597388,-115.0171137,"(36.086,-115.0171)",0,,
SoMS,Southern Miss,SUN BELT WEST,63.07,31.32897843,-89.33133066,"(31.329,-89.3313)",0,,
Tuls,Tulsa,AAC,64.69,36.14886068,-95.94360352,"(36.1489,-95.9436)",0,,
CoSt,Colorado State,MWC-MOUNTAIN,56.64,40.56174245,-105.1398437,"(40.5617,-105.1398)",0,,
Navy,Navy,AAC,67.61,38.98483264,-76.50711536,"(38.9848,-76.5071)",0,,
Duke,Duke,ACC-COASTAL,75.57,35.99531665,-78.9417243,"(35.9953,-78.9417)",0,,
SoAL,South Alabama,SUN BELT WEST,66.84,30.67423899,-88.07563305,"(30.6742,-88.0756)",0,,
CMU,Central Michigan,MAC-WEST,58.82,43.57761228,-84.77082968,"(43.5776,-84.7708)",0,,
WSU,Washington State,PAC-12 NORTH,75.70,46.73196798,-117.1605858,"(46.732,-117.1606)",0,,
SMU,SMU,AAC,71.89,32.83771581,-96.78270578,"(32.8377,-96.7827)",0,,
Wake,Wake Forest,ACC-ATLANTIC,77.29,36.09183481,-80.25534153,"(36.0918,-80.2553)",0,,
MidT,Middle Tennessee,CONF-USA,59.65,35.85110908,-86.36844993,"(35.8511,-86.3684)",0,,
ArSt,Arkansas State,SUN BELT WEST,53.42,35.8489901,-90.66769494,"(35.849,-90.6677)",0,,
NoTX,North Texas,CONF-USA,63.26,33.20393508,-97.15922356,"(33.2039,-97.1592)",0,,
LaTe,Louisiana Tech,CONF-USA,53.19,32.5322381,-92.65601888,"(32.5322,-92.656)",0,,
SJSU,San Jose State,MWC-WEST,62.73,37.32010519,-121.8681161,"(37.3201,-121.8681)",0,,
ULM,ULM,SUN BELT WEST,54.31,32.53106869,-92.06644075,"(32.5311,-92.0664)",0,,
NMSU,New Mexico State,I-A IND.,55.78,32.27974938,-106.7411363,"(32.2797,-106.7411)",0,,
WMU,Western Michigan,MAC-WEST,60.86,42.28575549,-85.60100421,"(42.2858,-85.601)",0,,
EMU,Eastern Michigan,MAC-WEST,64.78,42.25576071,-83.64775658,"(42.2558,-83.6478)",0,,
Nev,Nevada,MWC-WEST,53.04,39.54692485,-119.8175597,"(39.5469,-119.8176)",0,,
TxSt,Texas State,SUN BELT WEST,52.61,29.89134455,-97.92531181,"(29.8913,-97.9253)",0,,
Akr ,Akron,MAC-EAST,52.73,41.07256952,-81.50838375,"(41.0726,-81.5084)",0,,
FAU,Florida Atlantic,CONF-USA,63.40,26.37545356,-80.10168314,"(26.3755,-80.1017)",0,,
Troy,Troy,SUN BELT WEST,73.20,31.79952742,-85.95217692,"(31.7995,-85.9522)",0,,
Tyler,Tulane,AAC,79.77,29.94589811,-90.11519112,"(29.9459,-90.1152)",0,,
Wyo,Wyoming,MWC-MOUNTAIN,62.76,41.31193599,-105.5690646,"(41.3119,-105.5691)",0,,
Buff,Buffalo,MAC-EAST,62.10,42.99906838,-78.77751946,"(42.9991,-78.7775)",0,,
GaSt,Georgia State,SUN BELT EAST,64.45,33.75761738,-84.40106034,"(33.7576,-84.4011)",0,,
Tol,Toledo,MAC-WEST,66.95,41.65739078,-83.61401719,"(41.6574,-83.614)",0,,
UtSt,Utah State,MWC-MOUNTAIN,59.84,41.75153189,-111.8121057,"(41.7515,-111.8121)",0,,
NIU,NIU,MAC-WEST,56.32,41.934014,-88.778222,"(41.934,-88.7782)",0,,
Kent,Kent State,MAC-EAST,62.71,41.13908683,-81.31343946,"(41.1391,-81.3134)",0,,
GASO,Georgia Southern,SUN BELT EAST,62.25,32.41221168,-81.7831707,"(32.4122,-81.7832)",0,,
MiaO,Miami (OH),MAC-EAST,60.81,39.51942113,-84.7333545,"(39.5194,-84.7334)",0,,
App,Appalachian State,SUN BELT EAST,67.31,36.2115153,-81.68550611,"(36.2115,-81.6855)",0,,
Ohio,Ohio,MAC-EAST,67.36,39.32130908,-82.10343945,"(39.3213,-82.1034)",0,,
Bowl,Bowling Green,MAC-EAST,55.10,41.3780544,-83.62248212,"(41.3781,-83.6225)",0,,
FIU,FIU,CONF-USA,43.16,25.75249279,-80.37786484,"(25.7525,-80.3779)",0,,
Ball,Ball State,MAC-WEST,60.11,40.21602764,-85.41769962,"(40.216,-85.4177)",0,,
WKU,Western Kentucky,CONF-USA,70.72,36.98487663,-86.45901397,"(36.9849,-86.459)",0,,
ODU,Old Dominion,SUN BELT EAST,57.77,36.88878132,-76.3056761,"(36.8888,-76.3057)",0,,
UMas,UMass,I-A IND.,42.91,42.37751324,-72.53562686,"(42.3775,-72.5356)",0,,
Ida,Idaho,BIG SKY,59.48,46.72634961,-117.0175519,"(46.7263,-117.0176)",0,,
Char,Charlotte,CONF-USA,49.09,35.31028068,-80.74049377,"(35.3103,-80.7405)",0,,
TnSt,Tennessee State,OHIO VALLEY,37.08,36.166927,-86.771469,"(36.1669,-86.7715)",0,,
Yale,Yale,IVY LEAGUE,52.62,41.31212512,-72.96022912,"(41.3121,-72.9602)",0,,
Jack,Jackson State,SWAC-EAST,51.72,32.32963358,-90.17978311,"(32.3296,-90.1798)",0,,
Penn,Penn,IVY LEAGUE,46.49,39.949885,-75.18980742,"(39.9499,-75.1898)",0,,
Harv,Harvard,IVY LEAGUE,48.99,42.366997,-71.12680128,"(42.367,-71.1268)",0,,
NoSt,Norfolk State,MID-EASTERN,23.37,36.84669305,-76.26048088,"(36.8467,-76.2605)",0,,
Sou,Southern U.,SWAC-WEST,39.82,30.52196997,-91.1895313,"(30.522,-91.1895)",0,,
Prin,Princeton,IVY LEAGUE,52.16,40.34822037,-74.65908408,"(40.3482,-74.6591)",0,,
AlSt,Alabama State,SWAC-EAST,33.76,32.38068597,-86.31141569,"(32.3807,-86.3114)",0,,
Corn,Cornell,IVY LEAGUE,35.96,42.44401296,-76.47868395,"(42.444,-76.4787)",0,,
FAMU,Florida A&M,SWAC-EAST,42.76,30.42613695,-84.29142797,"(30.4261,-84.2914)",0,,
Mont,Montana,BIG SKY,63.86,46.8639148,-113.9820606,"(46.8639,-113.9821)",0,,
JMU,James Madison,SUN BELT EAST,71.88,38.43508894,-78.8734033,"(38.4351,-78.8734)",0,,
JSU,Jacksonville State,ASUN,58.91,33.82031031,-85.76646566,"(33.8203,-85.7665)",0,,
Holy,Holy Cross,PATRIOT,65.86,42.24100469,-71.81140423,"(42.241,-71.8114)",0,,
AlcS,Alcorn State,SWAC-WEST,36.55,31.8731844,-91.13631248,"(31.8732,-91.1363)",0,,
TXSo,Texas Southern,SWAC-WEST,34.37,29.75225056,-95.35233736,"(29.7523,-95.3523)",0,,
SCSt,SC State,MID-EASTERN,29.73,33.49876701,-80.84493355,"(33.4988,-80.8449)",0,,
Del,Delaware,COLONIAL,52.91,39.66170402,-75.74883012,"(39.6617,-75.7488)",0,,
NCAT,NC A&T,BIG SOUTH,43.62,36.08127442,-79.770087,"(36.0813,-79.7701)",0,,
SacS,Sacramento State,BIG SKY,67.09,38.55520501,-121.4221323,"(38.5552,-121.4221)",0,,
Cit,The Citadel,SOUTHERN,39.20,32.79326346,-79.95643189,"(32.7933,-79.9564)",0,,
ALAM,Alabama A&M,SWAC-EAST,31.86,34.78321453,-86.57930374,"(34.7832,-86.5793)",0,,
Chat,Chattanooga,SOUTHERN,53.73,35.03604045,-85.31576872,"(35.036,-85.3158)",0,,
YoSt,Youngstown State,MISSOURI VALLEY,55.53,41.10946146,-80.64997629,"(41.1095,-80.65)",0,,
EKY,Eastern Kentucky,ASUN,48.79,37.73447587,-84.2980957,"(37.7345,-84.2981)",0,,
Bro,Brown,IVY LEAGUE,33.58,41.84214547,-71.39464611,"(41.8421,-71.3946)",0,,
GrSt,Grambling State,SWAC-WEST,29.52,32.52086745,-92.72140745,"(32.5209,-92.7214)",0,,
Port,Portland State,BIG SKY,41.85,45.52155597,-122.6917398,"(45.5216,-122.6917)",0,,
Lib,Liberty,I-A IND.,63.73,37.354414,-79.175047,"(37.3544,-79.175)",0,,
NDSU,North Dakota State,MISSOURI VALLEY,69.69,46.90290763,-96.80152222,"(46.9029,-96.8015)",0,,
MtSt,Montana State,BIG SKY,66.85,45.65892753,-111.0495901,"(45.6589,-111.0496)",0,,
MoSt,Missouri State,MISSOURI VALLEY,55.44,37.19762952,-93.27998757,"(37.1976,-93.28)",0,,
McNS,McNeese State,SOUTHLAND,36.62,30.17369328,-93.210746,"(30.1737,-93.2107)",0,,
WebS,Weber State,BIG SKY,63.71,41.19197302,-111.9408058,"(41.192,-111.9408)",0,,
Hamp,Hampton,COLONIAL,33.18,37.02070612,-76.33395552,"(37.0207,-76.334)",0,,
Col,Columbia,IVY LEAGUE,42.89,40.87231892,-73.91571406,"(40.8723,-73.9157)",0,,
MurS,Murray State,OHIO VALLEY,31.76,36.61838662,-88.31660271,"(36.6184,-88.3166)",0,,
TnTe,Tennessee Tech,OHIO VALLEY,37.85,36.17758324,-85.50654888,"(36.1776,-85.5065)",0,,
WIll,Western Illinois,MISSOURI VALLEY,36.37,40.46839235,-90.68415642,"(40.4684,-90.6842)",0,,
NoIA,Northern Iowa,MISSOURI VALLEY,62.64,42.51554362,-92.4673748,"(42.5155,-92.4674)",0,,
Lam,Lamar,SOUTHLAND,29.97,30.04315005,-94.06990721,"(30.0432,-94.0699)",0,,
Fur,Furman,SOUTHERN,61.40,34.91983652,-82.43776898,"(34.9198,-82.4378)",0,,
Lehi,Lehigh,PATRIOT,30.06,40.58912371,-75.35546064,"(40.5891,-75.3555)",0,,
